analysis_level	module_name	signature_name	n_observations	correlation_method	correlation	p_value	fdr_bh	interpretation	notes
paired_difference_level	MAGMA_Bonferroni	injury_KIM1_LCN2_like	26	Spearman	0.601367521367521	0.00115630017291103	0.00412964347468226	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	inflammatory_stress	26	Spearman	0.355897435897436	0.0743544673214977	0.0929430841518721	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	epithelial_transport	26	Spearman	0.488547008547008	0.0113289737680612	0.019532713393209	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	Loop_TAL_transport_proxy	26	Spearman	0.453675213675214	0.0199195676673265	0.0296031420599455	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	collecting_duct_proxy	26	Spearman	0.459145299145299	0.0182989292243228	0.0295144019747141	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	fibroblast_stromal_ECM	26	Spearman	0.622564102564103	0.00068271075823028	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	fibrosis_remodeling	26	Spearman	0.517264957264957	0.00680751090212401	0.0154716156866455	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	endothelial_proxy	26	Spearman	0.767521367521367	4.7444609761649e-06	0.000237223048808245	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	immune_proxy	26	Spearman	0.349059829059829	0.0805019305917641	0.095835631656862	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_Bonferroni	mineralization_remodeling_proxy	26	Spearman	0.488547008547008	0.0113289737680612	0.019532713393209	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_FDR05	injury_KIM1_LCN2_like	26	Spearman	0.602735042735043	0.00111888841800246	0.00412964347468226	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
paired_difference_level	MAGMA_FDR05	inflammatory_stress	26	Spearman	0.323760683760684	0.106642106876836	0.118491229863151	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
