patient_id	pair_id	module_name	control_sample_id	disease_sample_id	control_module_score	disease_module_score	paired_difference	notes
ST18	ST18	MAGMA_top50	GSM1900675	GSM1900676	0.517132542168688	0.927512366338636	0.410379824169949	Disease-context minus control/adjacent module score in complete paired patients.
ST19	ST19	MAGMA_top50	GSM1900677	GSM1900678	-0.119149778305675	0.339007589770439	0.458157368076114	Disease-context minus control/adjacent module score in complete paired patients.
ST20	ST20	MAGMA_top50	GSM1900679	GSM1900680	-0.150759764263448	0.0907716117282715	0.24153137599172	Disease-context minus control/adjacent module score in complete paired patients.
ST22	ST22	MAGMA_top50	GSM1900682	GSM1900683	-0.211872674633306	0.0952063164879739	0.30707899112128	Disease-context minus control/adjacent module score in complete paired patients.
ST27	ST27	MAGMA_top50	GSM1900703	GSM1900704	-0.29264185054764	-0.240910285613839	0.0517315649338005	Disease-context minus control/adjacent module score in complete paired patients.
ST29	ST29	MAGMA_top50	GSM1900705	GSM1900706	0.106313541489362	0.58220082689708	0.475887285407719	Disease-context minus control/adjacent module score in complete paired patients.
ST31	ST31	MAGMA_top50	GSM1900707	GSM1900708	0.864152893759541	0.0654299117190774	-0.798722982040464	Disease-context minus control/adjacent module score in complete paired patients.
ST33	ST33	MAGMA_top50	GSM1900686	GSM1900687	-0.713233270294852	0.0340221422908728	0.747255412585725	Disease-context minus control/adjacent module score in complete paired patients.
ST34	ST34	MAGMA_top50	GSM1900688	GSM1900689	-0.646205752781314	-0.615089052423732	0.0311167003575819	Disease-context minus control/adjacent module score in complete paired patients.
ST35	ST35	MAGMA_top50	GSM1900710	GSM1900711	0.29116250844063	-0.342982510518465	-0.634145018959096	Disease-context minus control/adjacent module score in complete paired patients.
ST38	ST38	MAGMA_top50	GSM1900690	GSM1900691	-0.726364491314998	-0.469752482004896	0.256612009310102	Disease-context minus control/adjacent module score in complete paired patients.
ST40	ST40	MAGMA_top50	GSM1900714	GSM1900715	-0.412135404581583	1.14136483295955	1.55350023754113	Disease-context minus control/adjacent module score in complete paired patients.
ST41	ST41	MAGMA_top50	GSM1900692	GSM1900693	-0.515792191834335	-0.407612011910807	0.108180179923528	Disease-context minus control/adjacent module score in complete paired patients.
ST42	ST42	MAGMA_top50	GSM1900694	GSM1900695	-0.875877066989461	-0.799711083050085	0.0761659839393765	Disease-context minus control/adjacent module score in complete paired patients.
ST43	ST43	MAGMA_top50	GSM1900716	GSM1900717	-0.563850698688107	0.0116896592657908	0.575540357953898	Disease-context minus control/adjacent module score in complete paired patients.
ST44	ST44	MAGMA_top50	GSM1900718	GSM1900719	0.318996585317082	1.0277589880907	0.708762402773621	Disease-context minus control/adjacent module score in complete paired patients.
ST45	ST45	MAGMA_top50	GSM1900720	GSM1900721	0.102111030678948	0.153626915642304	0.0515158849633562	Disease-context minus control/adjacent module score in complete paired patients.
ST46	ST46	MAGMA_top50	GSM1900696	GSM1900697	-0.580887680629739	-0.801178598623024	-0.220290917993285	Disease-context minus control/adjacent module score in complete paired patients.
ST47	ST47	MAGMA_top50	GSM1900698	GSM1900699	-0.751738959398751	-0.585348624470553	0.166390334928198	Disease-context minus control/adjacent module score in complete paired patients.
ST48	ST48	MAGMA_top50	GSM1900722	GSM1900723	-0.0745906957974189	-0.0621825590810071	0.0124081367164117	Disease-context minus control/adjacent module score in complete paired patients.
ST49	ST49	MAGMA_top50	GSM1900700	GSM1900701	-0.63890856185638	-0.536106754545665	0.102801807310715	Disease-context minus control/adjacent module score in complete paired patients.
ST50	ST50	MAGMA_top50	GSM1900724	GSM1900725	0.0278870720728749	-0.0912022827559523	-0.119089354828827	Disease-context minus control/adjacent module score in complete paired patients.
ST52	ST52	MAGMA_top50	GSM1900726	GSM1900727	0.196448972382991	0.553337277641611	0.356888305258619	Disease-context minus control/adjacent module score in complete paired patients.
ST53	ST53	MAGMA_top50	GSM1900728	GSM1900729	1.15818848653854	0.408066745112572	-0.750121741425971	Disease-context minus control/adjacent module score in complete paired patients.
ST54	ST54	MAGMA_top50	GSM1900730	GSM1900731	0.756109693544078	0.882902948775776	0.126793255231698	Disease-context minus control/adjacent module score in complete paired patients.
ST56	ST56	MAGMA_top50	GSM1900733	GSM1900734	0.807881069693827	0.942283296460046	0.13440222676622	Disease-context minus control/adjacent module score in complete paired patients.
ST18	ST18	MAGMA_top100	GSM1900675	GSM1900676	0.736757483789353	0.888116024153771	0.151358540364417	Disease-context minus control/adjacent module score in complete paired patients.
ST19	ST19	MAGMA_top100	GSM1900677	GSM1900678	-0.0288363555861612	0.379327155633635	0.408163511219796	Disease-context minus control/adjacent module score in complete paired patients.
ST20	ST20	MAGMA_top100	GSM1900679	GSM1900680	-0.146583643790814	0.0565999563740936	0.203183600164908	Disease-context minus control/adjacent module score in complete paired patients.
ST22	ST22	MAGMA_top100	GSM1900682	GSM1900683	-0.253207656117111	0.121937103362589	0.3751447594797	Disease-context minus control/adjacent module score in complete paired patients.
ST27	ST27	MAGMA_top100	GSM1900703	GSM1900704	-0.246968861492845	-0.0879118855751395	0.159056975917706	Disease-context minus control/adjacent module score in complete paired patients.
ST29	ST29	MAGMA_top100	GSM1900705	GSM1900706	0.0998696434717598	0.393446033103573	0.293576389631813	Disease-context minus control/adjacent module score in complete paired patients.
ST31	ST31	MAGMA_top100	GSM1900707	GSM1900708	0.568199938721562	0.0665515555424339	-0.501648383179129	Disease-context minus control/adjacent module score in complete paired patients.
ST33	ST33	MAGMA_top100	GSM1900686	GSM1900687	-0.662515532670732	0.0257927997343174	0.68830833240505	Disease-context minus control/adjacent module score in complete paired patients.
ST34	ST34	MAGMA_top100	GSM1900688	GSM1900689	-0.72684473232534	-0.623086330291636	0.103758402033704	Disease-context minus control/adjacent module score in complete paired patients.
ST35	ST35	MAGMA_top100	GSM1900710	GSM1900711	0.293361989788437	-0.330204234762941	-0.623566224551378	Disease-context minus control/adjacent module score in complete paired patients.
ST38	ST38	MAGMA_top100	GSM1900690	GSM1900691	-0.753720412231624	-0.539717114438896	0.214003297792727	Disease-context minus control/adjacent module score in complete paired patients.
ST40	ST40	MAGMA_top100	GSM1900714	GSM1900715	-0.327769043891839	1.06062544915567	1.38839449304751	Disease-context minus control/adjacent module score in complete paired patients.
ST41	ST41	MAGMA_top100	GSM1900692	GSM1900693	-0.543412164420519	-0.41746181725002	0.125950347170499	Disease-context minus control/adjacent module score in complete paired patients.
ST42	ST42	MAGMA_top100	GSM1900694	GSM1900695	-0.882469336028253	-0.832107614046772	0.0503617219814816	Disease-context minus control/adjacent module score in complete paired patients.
ST43	ST43	MAGMA_top100	GSM1900716	GSM1900717	-0.451682129831221	0.0764545178206955	0.528136647651917	Disease-context minus control/adjacent module score in complete paired patients.
ST44	ST44	MAGMA_top100	GSM1900718	GSM1900719	0.53502275538621	1.0716323712176	0.536609615831392	Disease-context minus control/adjacent module score in complete paired patients.
