sample_id	section_id	n_spots_in_tissue	median_prediction_score_max	percent_low_confidence_spots	Loop_TAL_score_sparsity_flag	low_confidence_flag	metadata_confidence	include_for_step3	recommended_use	notes
GSM6250307	V10M09-035_XY04-F39	2438	0.879337491766842	0.328137817883511	TRUE	FALSE	moderate	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM6250308	V19S25-020_XY02-KRP428_slide2	817	0.733251448443416	0	TRUE	FALSE	high	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM6250309	V10M09-035_XY03-KRP449-440	939	0.939237868655588	0	TRUE	FALSE	high	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM6250310	V10M09-035_XY02-KRP429-478	1085	0.995880085458579	0	TRUE	FALSE	high	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	656	0.83896627748938	1.06707317073171	TRUE	FALSE	moderate	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	262	0.964149816370964	0.381679389312977	TRUE	FALSE	moderate	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	299	0.981268458493234	0.668896321070234	TRUE	FALSE	moderate	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	1386	0.853432341389025	1.15440115440115	TRUE	FALSE	moderate	yes_with_caution	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	1376	0.689254683775527	16.7877906976744	TRUE	TRUE	moderate	human_review	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	2468	0.63255283878254	17.8687196110211	TRUE	TRUE	high	human_review	descriptive_overlay_only	Retain only with caution for descriptive context; avoid claim-grade Loop/TAL correlation.
