sample_id	section_id	dataset_label	control_or_disease	metadata_confidence	n_spots_total	n_spots_in_tissue	n_shared_genes_used	n_reference_nuclei	n_reference_compartments	median_prediction_score_max	mean_prediction_score_max	n_low_confidence_spots	percent_low_confidence_spots	median_Loop_TAL_prediction_score	percent_spots_Loop_TAL_high	label_transfer_status	notes
GSM6250307	V10M09-035_XY04-F39	GSE206306	control	moderate	4992	2438	3000	43878	6	0.879337491766842	0.851829139912355	8	0.328137817883511	0	25.0205086136177	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM6250308	V19S25-020_XY02-KRP428_slide2	GSE206306	stone_disease	high	4992	817	3000	43878	6	0.733251448443416	0.737365046314325	0	0	0	25.0917992656059	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM6250309	V10M09-035_XY03-KRP449-440	GSE206306	stone_disease	high	4992	939	3000	43878	6	0.939237868655588	0.863586951166649	0	0	0	25.0266240681576	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM6250310	V10M09-035_XY02-KRP429-478	GSE206306	stone_disease	high	4992	1085	3000	43878	6	0.995880085458579	0.938758505104653	0	0	0	25.0691244239631	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	GSE206306	stone_disease	moderate	4992	656	3000	43878	6	0.83896627748938	0.81804311623139	7	1.06707317073171	0	25	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	GSE206306	stone_disease	moderate	4992	262	3000	43878	6	0.964149816370964	0.908729182821579	1	0.381679389312977	0	25.1908396946565	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	GSE206306	stone_disease	moderate	4992	299	3000	43878	6	0.981268458493234	0.916868751613344	2	0.668896321070234	0	25.0836120401338	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	GSE206306	stone_disease	moderate	4992	1386	3000	43878	6	0.853432341389025	0.830436631090486	16	1.15440115440115	0	25.036075036075	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	GSE206306	stone_disease	moderate	4992	1376	3000	43878	6	0.689254683775527	0.699164177736528	231	16.7877906976744	0	25	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	GSE206306	stone_disease	high	4992	2468	3000	43878	6	0.63255283878254	0.644968135287064	441	17.8687196110211	0	25	success	Seurat anchor-based label transfer; output directory uses sample_id__section_id to avoid overwriting multi-section sample IDs. Loop/TAL-high defined descriptively as the within-section top 25% of spots by Loop/TAL prediction-score rank.
