section_id	sample_id	module_name	module_role	n_spots	n_genes_detected	mean_raw_score	median_raw_score	sd_raw_score	mean_residualized_score	median_residualized_score	score_status	notes
GSM6250307	GSM6250307	Curated_exemplar_panel	curated_exemplar_context	2438	6	-3.19359888092544e-16	-0.303589049538384	0.429583431376268	-1.20221033019295e-17	-0.141757992003743	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	ECM_fibrosis	injury_or_remodeling_signature	2438	7	-1.55923036764419e-16	-0.0218542931177933	0.425442840632472	9.65411325761006e-18	-0.0320510348142091	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	LoopTAL_signature	spatial_context_signature	2438	7	-1.26573621695883e-16	-0.138098034891374	0.454647272042587	-1.26027162454886e-17	-0.123993959148349	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	MAGMA_top100	primary_MAGMA_module	2438	86	-1.82309618135676e-17	-0.0051600845778332	0.118991676014767	4.0529060373929e-18	-0.0112096866059764	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	MAGMA_top50	primary_MAGMA_module	2438	41	3.71763052390633e-17	-0.0144762513008062	0.166167354684449	4.98644057409576e-18	-0.0179052436045741	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	R1_MAGMA_Bonferroni_only	primary_MAGMA_module	2438	66	-2.70202037073344e-17	-0.00828691856712961	0.134101986393209	8.37334941152382e-18	-0.0114639527539199	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	primary_MAGMA_module	2438	79	5.67093769628185e-19	-0.00365902197235596	0.123720556056367	-6.00535936720437e-18	-0.00898874610983693	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	secondary_TWAS_proxy_module	2438	1	1.33905283179256e-16	-0.198584233743259	0.999999999999998	1.80559240879358e-17	-0.195476052301549	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	R2_R3_MAGMA_plus_TWAS_proxy	secondary_TWAS_proxy_module	2438	13	8.20407512319942e-17	-0.0392770032967054	0.276384582922685	2.36713620175539e-17	-0.0417168041951514	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	secondary_TWAS_proxy_module	2438	12	1.06401591120025e-16	-0.0405409199209708	0.287987119497608	1.95529947169166e-17	-0.042017834285928	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	collecting_duct	spatial_context_signature	2438	6	-6.90360174459285e-17	-0.0551974836463126	0.526898867487328	-3.95727567021846e-17	-0.0311048784642695	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	endothelial	spatial_context_signature	2438	6	-2.51371250858526e-16	-0.0809758253476071	0.454706380445537	2.13738139847692e-17	-0.0762454001808605	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	epithelial_general	spatial_context_signature	2438	5	-2.3494616606794e-16	-0.022066636712418	0.557092398002555	-6.31843497402545e-18	-0.0153904542171217	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	fibroblast_stromal	spatial_context_signature	2438	6	1.47817224689633e-16	-0.00308365383785171	0.488899857877606	8.01473553461967e-18	-0.0152573027930597	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	immune_myeloid	spatial_context_signature	2438	7	-1.14301057908496e-17	-0.119077837203681	0.508478775888493	1.82950000058719e-17	-0.114943529970088	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	injury_epithelial	injury_or_remodeling_signature	2438	7	8.00152943629558e-16	0.0154355477820367	0.405505987935524	-3.48367766135457e-18	-0.00705836053813631	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	mineralization_remodeling	injury_or_remodeling_signature	2438	7	8.90500871474362e-17	-0.0511180098637497	0.37247450030523	-3.17857125179803e-17	-0.0627616421488442	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250307	GSM6250307	proximal_tubule	spatial_context_signature	2438	6	-2.14952019359594e-16	-0.211559850559689	0.41029557819572	-7.12673926799988e-18	-0.185402436301704	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250308	GSM6250308	Curated_exemplar_panel	curated_exemplar_context	817	6	-2.21501044080662e-17	-0.0830418238469706	0.413188583998932	-3.69621374171411e-17	-0.0930472106125353	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
GSM6250308	GSM6250308	ECM_fibrosis	injury_or_remodeling_signature	817	7	-1.98671488617133e-16	0.0311884820015093	0.527079304463281	2.66344813741164e-17	0.00234384530830183	score_and_adjustment_ready	Section-level descriptive summary; section, not spot, is the biological unit.
