section_id	module_name	context_signature	n_spots	spearman_r_raw	spearman_p_raw	spearman_r_residualized	spearman_p_residualized	direction_consistent	adjustment_effect	interpretation	notes
GSM6250307	R1_MAGMA_Bonferroni_only	LoopTAL_signature	2438	0.160171321392636	1.7769476572921e-15	0.108048952340058	8.89493894707535e-08	TRUE	attenuated_after_complexity_adjustment	positive_codistribution	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_MAGMA_Bonferroni_only	injury_epithelial	2438	0.11371871823766	1.79812170864652e-08	-0.0376366188347219	0.0631612047471959	FALSE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_MAGMA_Bonferroni_only	ECM_fibrosis	2438	0.0712730923702694	0.000428526274532895	0.0110013995101177	0.587168264075912	TRUE	attenuated_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_MAGMA_Bonferroni_only	mineralization_remodeling	2438	0.13891721426118	5.61463432931059e-12	0.0310013950466851	0.125939764303797	TRUE	attenuated_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_MAGMA_Bonferroni_only	epithelial_general	2438	0.0916232856210002	5.86455427433473e-06	-0.0622668104122172	0.0020986755998499	FALSE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_MAGMA_Bonferroni_only	immune_myeloid	2438	0.0949703551490447	2.63388272305253e-06	0.0735789538510546	0.000276787791418912	TRUE	retained_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_MAGMA_Bonferroni_only	endothelial	2438	0.0270508672416501	0.18180243027775	-0.00571616285445614	0.777867268253816	FALSE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_MAGMA_Bonferroni_only	fibroblast_stromal	2438	0.0409443984721638	0.0432294898731772	-0.00398000847753251	0.844283538226344	FALSE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	LoopTAL_signature	2438	0.145826968735457	4.64213177479716e-13	0.0923534059027105	4.93629835418717e-06	TRUE	attenuated_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	injury_epithelial	2438	0.118659634920804	4.18478336491677e-09	-0.0448668339212575	0.0267374850501044	FALSE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	ECM_fibrosis	2438	0.0678029337524538	0.000808163656129282	0.00798696109940744	0.693456203104057	TRUE	attenuated_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	mineralization_remodeling	2438	0.133579694671808	3.54469589777003e-11	0.0176275266734721	0.384300467709223	TRUE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	epithelial_general	2438	0.105720316583604	1.67641741504928e-07	-0.0627274267187085	0.00194372030031055	FALSE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	immune_myeloid	2438	0.100696118025437	6.2897981810986e-07	0.0813879304002083	5.74044279920051e-05	TRUE	retained_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
GSM6250307	R1_R2_R3_all_MAGMA_Bonferroni	endothelial	2438	0.0286478876223295	0.157336659544383	-0.00460798197580128	0.820105926084215	FALSE	lost_after_complexity_adjustment	weak_or_inconsistent	Within-section spot-level Spearman P values are descriptive only; section-level consistency determines claim strength.
