module_name	donor_id	sample_id	disease_status	broad_compartment	n_nuclei	n_genes_detected	mean_module_score	median_module_score	sd_module_score	sem_module_score	detection_fraction_mean	low_cell_count_flag	notes	module_label	donor_short	compartment_label
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Collecting_duct_principal	6318	91	0.111111706623834	0.0967073611493743	0.0763337410252075	0.000960343798813151	0.0627737251668876	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290910	CD principal
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Endothelial	271	91	0.188352618114191	0.198068356953986	0.0644054782104845	0.00391235417823404	0.142086695592231	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290910	Endothelial
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Fibroblast_stromal	902	91	0.17676313697247	0.182842190947096	0.0811274542224368	0.00270124875216618	0.12777466436003	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290910	Fibro/stromal
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Injured_undifferentiated_epithelial	566	91	0.213774915780461	0.229861269492075	0.0919419215834902	0.00386460721779296	0.163048965169107	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290910	Injured epi
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Loop_of_Henle_TAL	29	91	0.332476731896957	0.34679002947356	0.0684377474425083	0.0127085706554122	0.269420234937476	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290910	Loop/TAL
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Pericyte_smooth_muscle	113	91	0.216519882306873	0.220530588046057	0.059329265820906	0.00558122784636039	0.167655353496061	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290910	Pericyte/SMC
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Collecting_duct_principal	16248	91	0.167011143631692	0.165690872889856	0.0909543571218009	0.00071354859174198	0.112366154279005	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290912	CD principal
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Endothelial	810	91	0.204757158893657	0.208777947912772	0.0673291263803834	0.002365704358126	0.154904354904355	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290912	Endothelial
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Fibroblast_stromal	1733	91	0.190783837285891	0.195608799082023	0.075439701770231	0.00181217728140464	0.127391362244219	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290912	Fibro/stromal
MAGMA_top100	GSM7290912	GSM7290912	healthy_control	Injured_undifferentiated_epithelial	55	91	0.157906050851614	0.155584856490885	0.0653208040351758	0.00880785541930078	0.0845154845154845	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test	MAGMA top100	D7290912	Injured epi
