module_name	excluded_donor	remaining_donors	remaining_loop_tal_nuclei	loop_tal_mean_score	loop_tal_rank	loop_tal_percentile_rank	top_compartment	support_retained	notes
Curated_exemplar_panel	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	1.05963283656618	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
Curated_exemplar_panel	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	1.10902238376297	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
Curated_exemplar_panel	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.986651111408192	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
Curated_exemplar_panel	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	1.22529794613833	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_FDR	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.253604970860705	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_FDR	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.257767466545404	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_FDR	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.254052928536139	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_FDR	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.265671623249112	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_suggestive	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.299493208789454	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_suggestive	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.301898225934445	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_suggestive	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.294402109078024	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_suggestive	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.312116044843236	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top100	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.315694603509204	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top100	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.322510169975078	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top100	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.305491980791064	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top100	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.335863788149224	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top50	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.3656754649842	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top50	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.377243281243985	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top50	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.355697689913137	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
MAGMA_top50	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.396481343317179	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R1_MAGMA_Bonferroni_only	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.368049616861758	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
